2017-07-11 06:38:59.749074 7fc8d3c2dcc0  0 set uid:gid to 64045:64045 (ceph:ceph)
2017-07-11 06:38:59.749090 7fc8d3c2dcc0  0 ceph version 12.0.1-1344-g7b2bf4f (7b2bf4f4b1b52f262895c41b5d1cf925d54bc995), process ceph-osd, pid 23848
2017-07-11 06:38:59.749976 7fc8d3c2dcc0  0 pidfile_write: ignore empty --pid-file
2017-07-11 06:38:59.756679 7fc8d3c2dcc0  0 load: jerasure load: lrc load: isa 
2017-07-11 06:38:59.757049 7fc8d3c2dcc0 10 memstore(/var/lib/ceph/osd/ceph-1) _load
2017-07-11 06:38:59.757051 7fc8d3c2dcc0  7 memstore(/var/lib/ceph/osd/ceph-1) EUNJI: collections_info_fname = /var/lib/ceph/osd/ceph-1/collections
2017-07-11 06:38:59.757117 7fc8d3c2dcc0  7 memstore(/var/lib/ceph/osd/ceph-1) EUNJI: collection_fname = /var/lib/ceph/osd/ceph-1/meta
2017-07-11 06:38:59.816861 7fc8d3c2dcc0  7 memstore(/var/lib/ceph/osd/ceph-1) EUNJI: collection_fname = /var/lib/ceph/osd/ceph-1/0.1_head
2017-07-11 06:38:59.816901 7fc8d3c2dcc0  7 memstore(/var/lib/ceph/osd/ceph-1) EUNJI: collection_fname = /var/lib/ceph/osd/ceph-1/0.2_head
2017-07-11 06:38:59.816913 7fc8d3c2dcc0  7 memstore(/var/lib/ceph/osd/ceph-1) EUNJI: collection_fname = /var/lib/ceph/osd/ceph-1/0.3_head
2017-07-11 06:38:59.816933 7fc8d3c2dcc0  7 memstore(/var/lib/ceph/osd/ceph-1) EUNJI: collection_fname = /var/lib/ceph/osd/ceph-1/0.4_head
2017-07-11 06:38:59.816944 7fc8d3c2dcc0  7 memstore(/var/lib/ceph/osd/ceph-1) EUNJI: collection_fname = /var/lib/ceph/osd/ceph-1/0.8_head
2017-07-11 06:38:59.816960 7fc8d3c2dcc0  7 memstore(/var/lib/ceph/osd/ceph-1) EUNJI: collection_fname = /var/lib/ceph/osd/ceph-1/0.c_head
2017-07-11 06:38:59.816969 7fc8d3c2dcc0  7 memstore(/var/lib/ceph/osd/ceph-1) EUNJI: collection_fname = /var/lib/ceph/osd/ceph-1/0.11_head
2017-07-11 06:38:59.816984 7fc8d3c2dcc0  7 memstore(/var/lib/ceph/osd/ceph-1) EUNJI: collection_fname = /var/lib/ceph/osd/ceph-1/0.12_head
2017-07-11 06:38:59.816993 7fc8d3c2dcc0  7 memstore(/var/lib/ceph/osd/ceph-1) EUNJI: collection_fname = /var/lib/ceph/osd/ceph-1/0.13_head
2017-07-11 06:38:59.817008 7fc8d3c2dcc0  7 memstore(/var/lib/ceph/osd/ceph-1) EUNJI: collection_fname = /var/lib/ceph/osd/ceph-1/0.16_head
2017-07-11 06:38:59.817018 7fc8d3c2dcc0  7 memstore(/var/lib/ceph/osd/ceph-1) EUNJI: collection_fname = /var/lib/ceph/osd/ceph-1/0.18_head
2017-07-11 06:38:59.817033 7fc8d3c2dcc0  7 memstore(/var/lib/ceph/osd/ceph-1) EUNJI: collection_fname = /var/lib/ceph/osd/ceph-1/0.1a_head
2017-07-11 06:38:59.817048 7fc8d3c2dcc0  7 memstore(/var/lib/ceph/osd/ceph-1) EUNJI: collection_fname = /var/lib/ceph/osd/ceph-1/0.1b_head
2017-07-11 06:38:59.817062 7fc8d3c2dcc0  7 memstore(/var/lib/ceph/osd/ceph-1) EUNJI: collection_fname = /var/lib/ceph/osd/ceph-1/0.1c_head
2017-07-11 06:38:59.817074 7fc8d3c2dcc0  7 memstore(/var/lib/ceph/osd/ceph-1) EUNJI: collection_fname = /var/lib/ceph/osd/ceph-1/0.1d_head
2017-07-11 06:38:59.817088 7fc8d3c2dcc0  7 memstore(/var/lib/ceph/osd/ceph-1) EUNJI: collection_fname = /var/lib/ceph/osd/ceph-1/0.1e_head
2017-07-11 06:38:59.817098 7fc8d3c2dcc0  7 memstore(/var/lib/ceph/osd/ceph-1) EUNJI: collection_fname = /var/lib/ceph/osd/ceph-1/0.20_head
2017-07-11 06:38:59.817111 7fc8d3c2dcc0  7 memstore(/var/lib/ceph/osd/ceph-1) EUNJI: collection_fname = /var/lib/ceph/osd/ceph-1/0.21_head
2017-07-11 06:38:59.817120 7fc8d3c2dcc0  7 memstore(/var/lib/ceph/osd/ceph-1) EUNJI: collection_fname = /var/lib/ceph/osd/ceph-1/0.22_head
2017-07-11 06:38:59.817135 7fc8d3c2dcc0  7 memstore(/var/lib/ceph/osd/ceph-1) EUNJI: collection_fname = /var/lib/ceph/osd/ceph-1/0.23_head
2017-07-11 06:38:59.817144 7fc8d3c2dcc0  7 memstore(/var/lib/ceph/osd/ceph-1) EUNJI: collection_fname = /var/lib/ceph/osd/ceph-1/0.24_head
2017-07-11 06:38:59.817157 7fc8d3c2dcc0  7 memstore(/var/lib/ceph/osd/ceph-1) EUNJI: collection_fname = /var/lib/ceph/osd/ceph-1/0.25_head
2017-07-11 06:38:59.817172 7fc8d3c2dcc0  7 memstore(/var/lib/ceph/osd/ceph-1) EUNJI: collection_fname = /var/lib/ceph/osd/ceph-1/0.2b_head
2017-07-11 06:38:59.817187 7fc8d3c2dcc0  7 memstore(/var/lib/ceph/osd/ceph-1) EUNJI: collection_fname = /var/lib/ceph/osd/ceph-1/0.2d_head
2017-07-11 06:38:59.817195 7fc8d3c2dcc0  7 memstore(/var/lib/ceph/osd/ceph-1) EUNJI: collection_fname = /var/lib/ceph/osd/ceph-1/0.30_head
2017-07-11 06:38:59.817210 7fc8d3c2dcc0  7 memstore(/var/lib/ceph/osd/ceph-1) EUNJI: collection_fname = /var/lib/ceph/osd/ceph-1/0.33_head
2017-07-11 06:38:59.817225 7fc8d3c2dcc0  7 memstore(/var/lib/ceph/osd/ceph-1) EUNJI: collection_fname = /var/lib/ceph/osd/ceph-1/0.34_head
2017-07-11 06:38:59.817235 7fc8d3c2dcc0  7 memstore(/var/lib/ceph/osd/ceph-1) EUNJI: collection_fname = /var/lib/ceph/osd/ceph-1/0.35_head
2017-07-11 06:38:59.817250 7fc8d3c2dcc0  7 memstore(/var/lib/ceph/osd/ceph-1) EUNJI: collection_fname = /var/lib/ceph/osd/ceph-1/0.36_head
2017-07-11 06:38:59.817259 7fc8d3c2dcc0  7 memstore(/var/lib/ceph/osd/ceph-1) EUNJI: collection_fname = /var/lib/ceph/osd/ceph-1/0.37_head
2017-07-11 06:38:59.817273 7fc8d3c2dcc0  7 memstore(/var/lib/ceph/osd/ceph-1) EUNJI: collection_fname = /var/lib/ceph/osd/ceph-1/0.38_head
2017-07-11 06:38:59.817282 7fc8d3c2dcc0  7 memstore(/var/lib/ceph/osd/ceph-1) EUNJI: collection_fname = /var/lib/ceph/osd/ceph-1/0.39_head
