# func swift_4K4K swift_1M1M rados_4K4K rados_4K1M rados_1M1M fio_4K4K fio_1M1M
collection_list 424 424 592 200 528 0 624
list_collections 2 2 2 0 2 0 2
exists 1 1 1 0 1 0 1
stat 212 212 196 0 164 0 312
statfs 25 29 10 3 8 17 3
key 0 0 0 0 0 0 0
omap_get_values 4696 4716 588 0 492 33 962
omap_get_header 4100 4140 0 0 0 0 0
read 1008 1003 8 1 4 3 5
getattr 3692 3676 71284 0 2 0 532
getattrs 3000 3000 0 0 0 0 0
_create_collection 0 0 100 0 0 100 0
_omap_rmkeys 1020 1020 0 0 0 512 1
_omap_setkeys 10116 10164 72701 44582 8069 263156 2372
_omap_setheader 4060 4080 0 0 0 0 0
_remove 1060 1060 35633 175 18 0 0
_setattrs 5120 5140 35633 44407 3692 262154 1028
_write 1046 1046 35644 44407 3704 262159 1030
_touch 1272 1272 36029 175 3858 460 312
_do_transaction 7290 7318 72700 44582 8237 263058 2686
